ID,ROI,Area,X,Y,Mean_CD34,StDev_CD34,Mode_CD34,Min_CD34,Max_CD34,Median_CD34,Skew_CD34,Kurt_CD34,Background_CD34,Mean_Etv1,StDev_Etv1,Mode_Etv1,Min_Etv1,Max_Etv1,Median_Etv1,Skew_Etv1,Kurt_Etv1,Background_Etv1,Mean_Nppb,StDev_Nppb,Mode_Nppb,Min_Nppb,Max_Nppb,Median_Nppb,Skew_Nppb,Kurt_Nppb,Background_Nppb,Mean_synpr,StDev_synpr,Mode_synpr,Min_synpr,Max_synpr,Median_synpr,Skew_synpr,Kurt_synpr,Background_synpr,Mean_trpa1,StDev_trpa1,Mode_trpa1,Min_trpa1,Max_trpa1,Median_trpa1,Skew_trpa1,Kurt_trpa1,Background_trpa1,Mean_trpm8,StDev_trpm8,Mode_trpm8,Min_trpm8,Max_trpm8,Median_trpm8,Skew_trpm8,Kurt_trpm8,Background_trpm8,Mean_calca,StDev_calca,Mode_calca,Min_calca,Max_calca,Median_calca,Skew_calca,Kurt_calca,Background_calca,Mean_nefh,StDev_nefh,Mode_nefh,Min_nefh,Max_nefh,Median_nefh,Skew_nefh,Kurt_nefh,Background_nefh,Mean_S100b,StDev_S100b,Mode_S100b,Min_S100b,Max_S100b,Median_S100b,Skew_S100b,Kurt_S100b,Background_S100b,Mean_trpv1,StDev_trpv1,Mode_trpv1,Min_trpv1,Max_trpv1,Median_trpv1,Skew_trpv1,Kurt_trpv1,Background_trpv1,Mean_sstr2,StDev_sstr2,Mode_sstr2,Min_sstr2,Max_sstr2,Median_sstr2,Skew_sstr2,Kurt_sstr2,Background_sstr2,Mean_Fxyd2,StDev_Fxyd2,Mode_Fxyd2,Min_Fxyd2,Max_Fxyd2,Median_Fxyd2,Skew_Fxyd2,Kurt_Fxyd2,Background_Fxyd2,Mean_mrgprd,StDev_mrgprd,Mode_mrgprd,Min_mrgprd,Max_mrgprd,Median_mrgprd,Skew_mrgprd,Kurt_mrgprd,Background_mrgprd,Mean_tmem45b,StDev_tmem45b,Mode_tmem45b,Min_tmem45b,Max_tmem45b,Median_tmem45b,Skew_tmem45b,Kurt_tmem45b,Background_tmem45b,Mean_tmem233,StDev_tmem233,Mode_tmem233,Min_tmem233,Max_tmem233,Median_tmem233,Skew_tmem233,Kurt_tmem233,Background_tmem233,Cellstack,Thumbnail
870,0817-0919,16,919.1875,817.4375,29,9.3381,27,10,48,32,-0.2359,0.09042,36.5714,61.1875,22.5247,75,22,105,67,0.2349,-0.5874,50.9317,49.5,14.4499,48,24,72,48,0.2292,-0.7998,47.8137,39.4375,12.4417,24,24,62,43,0.1774,-1.1272,29.882,63.75,13.9642,60,45,90,60,0.512,-0.4379,60.9317,10.8125,2.0402,10,7,16,10,0.8937,1.139,11.4161,15.0625,2.2648,14,11,20,14,0.3472,-0.1117,14.6646,22.5,10.4626,14,9,41,21,0.578,-0.9793,30.1242,59.4375,21.0902,80,26,95,54,0.1622,-1.2476,67.8261,15.625,3.8275,16,8,23,16,-0.2185,0.08051,16.1491,32.8125,6.8334,25,22,43,35,-0.2289,-1.3353,34.6646,15.125,8.4843,9,7,37,15,1.4035,1.0906,30.1553,44.25,10.9879,48,27,63,46,-0.1179,-1.0626,26.5031,38.8125,9.8402,31,28,63,36,1.0938,0.296,36.0373,43.6875,9.4214,39,32,67,41,0.9308,0.3219,37,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\871_0817-0919.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\871_0817-0919.tif
871,0321-0979,45,979.0111,321.7444,25.4222,11.0196,21,5,70,27,1.3756,4.2697,28.7342,30.2444,17.3692,22,0,75,30,0.513,-0.09398,23.9234,24.8,10.0399,24,12,48,24,0.5819,-0.04832,20.9189,69.0222,19.191,55,31,111,68,0.01337,-0.685,34.3108,52.3333,22.9773,45,0,105,60,-0.209,0.1041,33.5135,11.8444,1.5069,12,9,15,12,0.3076,-0.6966,10.5405,16.0667,2.0158,16,11,20,16,-0.1593,-0.03086,15.7207,3.0222,0.1491,3,3,4,3,6.4825,40.0227,3.0495,19.2,3.5777,18,9,25,19,-0.4845,0.2758,17.2793,19.2,2.8492,18,14,26,19,0.4574,-0.1598,17.2072,23.7333,5.5857,26,10,36,24,-0.1098,0.03665,23.3468,44.0222,17.9652,51,6,77,45,-0.3442,-0.4733,19.4595,36.9556,14.9969,19,16,63,38,0.1257,-1.323,25.009,61.2889,11.4249,48,43,90,60,0.5511,-0.4371,33.6802,58.0667,16.1462,55,22,88,56,-0.24,-0.5099,30.2658,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\872_0321-0979.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\872_0321-0979.tif
872,0365-0714,50,713.58,365.4,40.9,16.3423,37,16,86,37,1.1467,1.1406,52.3393,59.48,32.7278,45,7,157,60,0.9044,0.8883,33.4777,90.38,55.6197,48,12,242,85,1.0047,0.3972,42.192,21.42,9.298,18,6,55,18,1.3502,2.9802,32.3393,69,37.607,45,15,165,60,0.4929,-0.6736,45.4688,14.24,3.5546,14,9,25,14,1.0427,0.884,12.125,17.98,3.0937,18,13,27,18,0.6747,0.5367,15.6295,3.74,1.3063,3,3,8,3,1.9337,3.0518,3.7009,21.84,7.5224,22,8,40,22,0.3948,-0.12,26.7009,30.06,6.3065,24,18,44,31,0.1268,-0.5309,19.942,31.06,8.2719,28,18,54,30,1.0627,0.9113,27.6161,29.48,16.4146,7,4,63,29,0.1094,-1.0648,26.2902,24.52,4.6213,31,13,31,24,-0.0964,-0.8783,20.4688,70.94,14.8618,43,43,102,74,-0.2228,-0.745,36.8482,59.48,16.7091,42,12,95,57,-0.04747,0.07597,27.5982,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\873_0365-0714.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\873_0365-0714.tif
873,0399-0757,19,757.1316,399.6053,27.5789,12.6417,27,5,70,27,1.753,5.1493,23.0517,38,12.5786,52,15,52,37,-0.3824,-0.9459,26.1782,29.6842,10.8579,24,12,48,24,0.3112,-0.6771,27.5977,121.2632,25.9205,105,68,161,124,-0.3196,-0.7311,44.1092,59.2105,25.7263,45,15,120,60,0.6264,0.1974,36.4655,12.2632,1.9103,11,8,16,12,0.006532,0.02445,10.546,16.6842,2.5178,16,13,22,16,0.4316,-0.4842,16.0345,3.8421,1.1673,3,3,7,3,1.3885,1.0984,3.3678,18.5789,3.8487,16,11,24,17,-0.07187,-1.0958,18.3621,21.1053,2.8654,23,15,25,22,-0.5306,-0.7642,16.9943,23,5.5777,23,14,38,23,0.9078,1.0428,22.408,72.1579,13.4547,62,50,94,70,0.05487,-1.1055,33.2529,51,13.1825,31,31,75,52,-0.03468,-1.0641,31.546,73.5263,9.8959,65,55,92,75,-0.119,-0.6011,41.1897,79.0526,8.0033,71,65,95,77,0.4355,-0.6324,36.8851,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\874_0399-0757.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\874_0399-0757.tif
874,0597-1017,127,1017.4213,598.1457,70.1339,43.6631,16,10,173,65,0.4615,-0.9074,55.9878,67.0787,34.5538,67,0,150,67,0.02492,-0.5186,36.4116,37.622,14.0215,36,12,85,36,0.9445,1.2738,29.6738,76.685,27.9454,55,18,143,74,0.3817,-0.6967,39.4055,56.3386,23.8085,45,0,135,60,0.4051,0.3294,40.4726,12.3071,2.352,11,8,20,12,0.3412,0.2845,11.2043,18.4409,3.2038,17,12,29,18,0.79,0.8063,16.1128,7.5827,6.5628,3,2,31,5,1.9121,2.9237,5.9451,24.5827,9.887,23,9,74,23,2.1415,6.9037,24.3079,19.2756,3.6703,19,9,29,19,0.07977,-0.07195,17.4573,27.8504,6.3572,29,13,46,28,0.07328,-0.07923,27.1341,68.7953,23.5036,64,17,132,69,0.1866,-0.5078,41.4024,20.4646,2.8669,20,12,30,20,0.4203,0.7741,20.2348,51.8425,11.4763,48,28,83,50,0.5257,-0.157,34.3933,53.874,19.4581,47,19,103,54,0.1352,-0.6202,29.6098,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\875_0597-1017.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\875_0597-1017.tif
875,0768-1362,30,1362.8,768,38,11.151,32,21,65,37,0.7071,-0.1231,39.5333,42.5,19.5179,37,7,90,37,0.5043,-0.08696,39.2513,44.8333,14.1667,36,24,85,48,0.5726,0.3552,42.4359,111.5333,44.6826,118,43,255,118,0.9858,1.6867,55.7795,76,29.9828,75,30,120,75,0.03872,-1.1172,53.6923,12.2,2.4551,12,7,17,12,0.04949,-0.6698,11.6308,17.9667,2.2816,17,14,22,18,0.1834,-0.7382,17.441,13.7,10.8378,6,4,39,7,1.029,-0.1338,18.241,29.8667,9.7865,29,13,54,29,0.6979,0.2789,41.8462,20.5,3.9194,18,14,30,20,0.6518,-0.02995,19.2,24.7,6.3417,24,13,43,24,0.5912,0.8332,25.9179,49.6,19.0147,71,11,80,54,-0.441,-0.9696,26.8205,52.6333,20.5468,67,22,100,53,0.51,-0.2699,39.2462,79.9,18.8284,92,52,131,80,0.7052,0.2563,42.4103,80.3333,17.58,65,55,125,80,0.5291,-0.2102,48.7333,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\876_0768-1362.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\876_0768-1362.tif
876,0783-1241,34,1241.2647,784.1176,30.5882,20.8663,16,5,113,27,2.0324,5.4171,32.7015,154.8235,60.2261,90,60,255,157,-0.02502,-1.2155,81.5672,202.5882,67.8488,255,36,255,230,-1.2821,0.4909,110.6468,16.3529,8.1049,12,0,31,18,0.2368,-0.5848,21.1194,66.6176,18.5342,75,30,120,75,0.2837,0.7259,51.8657,12.0294,2.2086,10,8,16,12,0.2021,-0.7538,10.3284,15.6471,3.1226,15,10,22,15,0.3518,-0.6472,14.4527,17,14.7299,6,3,52,10,1.1729,0.09965,37.9005,23.4118,10.0969,18,10,55,21,1.3134,1.6509,40.3284,32.2647,14.8534,39,14,77,31,1.1032,1.3154,22.3831,18.2353,6.6152,17,5,31,18,-0.05396,-0.3533,21.791,24.2353,6.0154,27,13,34,26,-0.1333,-1.1245,19.7015,20.6471,3.1129,20,15,28,21,0.2978,-0.4087,21.5174,55.0882,9.6244,53,35,74,54,-0.1299,-0.619,37.0149,98.1176,25.9145,78,40,154,99,0.2082,-0.5247,48.9701,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\877_0783-1241.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\877_0783-1241.tif
877,0325-0619,135,619.9519,324.6704,33.7481,12.5006,27,5,75,32,0.3325,-0.195,42.8543,53.5481,22.7533,52,7,142,52,0.8207,1.4749,31.1681,35.5556,11.8565,36,0,72,36,0.1207,0.2205,33.8571,26.1407,16.0224,24,6,124,24,3.2008,13.5773,36.6471,49.3333,15.6429,45,15,90,45,0.03595,-0.2235,39.1176,12.363,4.6802,11,3,26,12,0.1773,-0.2542,11.2577,107.7556,23.4385,94,30,182,108,-0.1155,1.1402,27.0308,15.1481,5.894,14,3,27,16,-0.4152,-0.4271,5.1905,53.2593,14.3371,43,21,91,52,0.1923,-0.06098,23.112,18.7037,4.4656,19,9,29,19,-0.009694,-0.2956,18.4174,19.0815,5.4143,17,6,35,19,0.218,-0.2099,24.0224,14.6,5.5317,13,3,39,13,1.3614,3.0914,20.1989,25.037,8.7685,21,18,77,23,3.5169,13.9069,29.5238,34.4444,13.0839,31,23,107,31,3.3583,12.3885,36.5518,104.0296,15.5674,94,66,137,104,-0.03308,-0.66,40.549,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\878_0325-0619.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\878_0325-0619.tif
878,0344-0584,34,583.6176,343.7353,36.4118,11.4047,37,10,65,37,-0.004324,0.2843,34.449,48.9118,22.1501,37,15,112,52,0.5629,0.2154,36.6531,55.5294,19.8696,48,24,109,48,1.1308,0.8539,41.2908,25.7941,8.6332,24,6,43,24,0.2387,-0.07915,23.7908,55.1471,15.5449,45,30,90,60,0.181,-0.7034,45.9184,12.3235,3.4176,11,7,25,12,1.5871,4.0142,10.9949,15.0588,2.3988,16,10,20,16,-0.2574,-0.4678,15.5816,21.6471,7.7845,15,10,45,21,0.9668,1.1388,15.2143,102.1176,21.4289,86,57,143,107,-0.09844,-0.765,62.6173,12.5294,4.8194,15,5,24,12,0.2642,-0.5801,14.4592,26.7941,6.9316,25,14,50,27,0.8795,1.9501,25.25,8.5882,2.4136,7,3,15,8,0.3366,0.3921,10.6837,24.3529,2.4106,22,19,29,25,0.03834,-0.7889,23.6531,31.0294,4.2103,31,21,40,31,-0.02086,-0.235,31.8878,58.5,11.2472,50,35,81,59,0.006421,-0.7267,37.0306,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\879_0344-0584.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\879_0344-0584.tif
879,0329-0568,126,568.0397,329.6984,37.4048,11.8471,32,10,75,37,0.5506,0.3524,34.6,37.5317,16.9648,37,0,82,37,0.0486,-0.2691,36.0467,42.3016,14.1009,36,12,85,36,0.5941,0.3107,39.6067,26.2778,10.5623,24,6,62,24,0.7044,0.688,39.75,47.9762,15.8768,45,15,105,45,0.2889,0.6614,46.75,10.2937,2.3734,10,3,16,10,-0.237,0.2623,10.85,17.8254,5.2308,18,9,44,17,2.0658,6.5863,16.0467,23.4286,10.2734,18,6,48,21,0.4083,-0.7242,15.2933,147.3889,43.3039,94,75,248,142,0.3739,-0.8576,72.6267,10.0714,4.4185,10,3,23,10,0.5164,-0.2902,13.7667,23.6111,6.4473,20,9,38,23,0.2234,-0.6152,23.43,10.1587,9.3633,7,3,68,8,4.4581,21.9055,24.1867,24.2063,2.8881,24,17,32,24,0.06517,-0.04624,25.0133,33.0714,6.7233,31,21,74,31,3.2567,16.7841,39.34,73.3095,19.4983,55,33,128,73,0.2613,-0.3349,52.3933,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\880_0329-0568.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\880_0329-0568.tif
880,0502-0411,78,411.359,502.0513,37.0256,14.835,27,10,86,37,1.0823,1.342,32.4258,42.4103,18.937,22,0,82,37,0.3642,-0.5337,44.043,45.5641,15.2158,36,12,85,48,0.3762,-0.1619,41.3711,112.2949,41.5986,68,31,205,105,0.319,-0.7436,106.6562,66.3462,27.8292,60,0,150,60,0.4231,0.2802,66.5039,12.141,2.4744,12,6,20,12,0.4273,0.5098,11.7578,18.2821,3.0744,15,13,26,18,0.3151,-0.628,21.7188,4.2436,1.3598,3,2,8,4,0.7686,-0.2756,4.082,21.0128,5.938,22,8,40,21,0.7232,1.0741,20.2656,20.7051,4.2092,19,11,33,20,0.5906,0.6232,22.3594,23.141,6.4097,22,13,40,22,0.3785,-0.5849,23.0078,71.1923,16.3175,55,45,128,71,0.8439,0.9881,66.7227,43.8333,12.4279,34,22,78,43,0.291,-0.3686,47.9961,56.8846,17.6782,45,28,141,56,1.5616,5.2284,63.8867,67.2564,20.7305,69,13,124,68,-0.0002756,0.003821,67.918,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\881_0502-0411.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\881_0502-0411.tif
881,0405-0810,21,809.5,405.119,24.4286,7.9346,21,10,37,21,0.03533,-0.6437,21.7253,26.9524,12.5836,15,7,52,30,0.2958,-1.012,27.2363,27.4286,7.7238,24,12,36,24,-0.3059,-0.6688,25.8516,54.4286,16.9398,49,18,80,55,-0.4079,-0.3348,21.4066,53.5714,23.0295,45,0,105,60,-0.09535,0.7304,38.8187,11.8095,1.8061,11,8,14,12,-0.4398,-0.6847,10.489,17.8095,2.6762,16,13,25,18,0.7859,0.8575,20.9451,3.6667,1.0165,3,3,6,3,1.2898,0.3543,5.9121,19.6667,3.6102,20,13,26,20,0.1268,-0.6881,18.1374,17.0476,3.2168,19,12,24,17,0.1869,-0.4577,20.6978,21.619,5.835,22,13,36,22,0.691,0.4759,25.2418,33.7143,15.0902,20,6,70,35,0.3336,0.3757,13.2747,32.2857,8.5155,21,21,53,31,0.7516,0.0838,23.6099,47.381,11.1332,40,29,68,47,0.3099,-0.7974,30.8846,62,12.2882,74,43,82,58,0.1716,-1.3321,26.4615,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\882_0405-0810.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\882_0405-0810.tif
882,0574-0768,74,768.0676,574.2703,34.6622,12.725,32,10,65,32,0.4798,0.186,22.0769,46.8649,22.6796,30,7,112,45,0.5768,0.3682,38.5654,42.2162,16.3089,36,12,85,36,0.9038,0.6174,28.3462,23.4189,9.7798,18,6,55,24,0.7047,0.6396,22.9808,54.1216,18.7148,45,15,90,60,0.2205,-0.483,36.5769,15.7703,5.6751,15,3,28,16,0.02054,-0.3649,11.2423,116.7027,69.7474,42,22,253,106,0.4274,-1.018,29.9577,22.1216,16.8523,6,3,65,18,0.9416,-0.2465,6.45,64.6757,20.542,65,31,110,63,0.3717,-0.815,23.2038,17.4054,6.0589,16,5,31,17,0.09561,-0.4108,20.1577,22.7432,9.6728,25,3,43,23,0.05293,-0.4593,24.5962,12.7297,4.9249,11,4,37,12,1.7992,6.5689,16.2115,23.2973,3.0102,21,18,30,24,0.4612,-0.323,20.7962,33.6486,5.3748,33,23,52,34,0.6825,1.2271,31.8077,97.3919,24.6031,97,30,152,97,-0.175,-0.1605,37.4385,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\883_0574-0768.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\883_0574-0768.tif
883,0568-0864,140,864.2786,568.8929,45.5143,18.934,48,10,113,43,0.9044,1.1912,31.7108,53.1357,24.0543,45,0,112,52,0.1366,-0.462,35.4862,47.3571,16.9494,36,12,109,48,0.7329,1.0005,32.5754,28.8429,17.9985,18,6,93,24,1.2637,1.0663,26.7785,57,17.8301,45,15,105,60,0.2621,-0.3018,41.2615,10.4071,2.1853,12,3,17,10,-0.1918,0.9445,10.9323,13.6786,2.8061,14,7,22,14,-0.01337,0.3282,17.2831,34.0571,10.0164,31,11,69,33,0.7613,0.8805,15.6031,98.7786,25.3806,68,49,186,99,0.2972,-0.2525,44.8708,13.7357,5.0602,13,4,29,13,0.2239,-0.1814,15.5077,30.4929,6.8871,26,13,48,30,0.3187,-0.2142,27.1877,14.4286,11.1917,8,3,58,11,1.9244,3.2229,11.9815,24.8286,3.439,24,16,34,25,0.1268,-0.1241,22.0769,35.0857,11.7384,30,21,135,33,5.1701,37.6522,31.1385,49.7786,14.8378,41,19,95,48,0.488,0.2251,28.5231,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\884_0568-0864.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\884_0568-0864.tif
884,0586-0770,36,770.4722,586.5556,30.5278,11.3628,27,10,59,32,0.5372,-0.1212,21.4242,46.8056,19.3816,30,15,97,45,0.3357,-0.2603,26.9444,35.6944,17.4074,24,12,85,36,0.8801,0.3991,23.6364,17.1111,8.6447,12,6,37,18,0.6226,-0.3424,15.2273,57.0833,22.3407,45,30,105,45,0.7065,-0.6111,30.2273,13.1667,3.1668,13,7,20,13,0.3434,-0.3261,10.9293,25.1667,10.9948,19,11,55,21,1.06,0.3076,17.0354,4.3889,2.6107,3,3,12,3,1.8231,1.9349,3.4747,26.3889,9.5027,31,4,45,28,-0.3229,-0.1618,19.6162,24.0556,4.9219,25,13,33,25,-0.1709,-0.7283,18.5606,31.1389,7.3335,24,15,45,32,-0.253,-0.5278,24.9596,6.6944,2.9063,4,3,14,7,0.6197,-0.5358,5.6919,21.3056,3.7707,19,16,32,21,0.949,0.4621,19.8384,31.4167,6.8175,24,24,57,30,1.8969,4.5442,27.7172,46.3056,22.4726,23,5,111,46,0.738,0.5806,23.202,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\885_0586-0770.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\885_0586-0770.tif
885,0463-0726,177,726.3531,463.3475,43.904,12.5886,43,16,81,43,0.1864,-0.04577,34.1667,53.0169,19.8083,37,15,112,52,0.2407,-0.2627,46.6257,54.339,20.0785,60,24,133,48,1.0681,2.0051,43.0029,23.8983,8.0813,24,6,49,24,0.1217,-0.1684,41.5117,60.0847,20.7561,45,15,165,60,1.035,2.8759,50.4386,7.1073,2.5079,6,3,15,7,0.7536,0.2299,9.076,10.4689,2.7778,8,6,20,10,1.1091,0.576,13.6608,68.4689,33.3797,6,3,153,72,-0.2242,-0.1491,42.3333,131.2712,34.7461,105,33,241,131,0.02072,0.1584,72.3596,13.1469,4.6772,11,3,31,13,0.5368,0.9174,15.807,31.8136,6.755,28,14,48,31,0.128,-0.237,27.5175,9.0621,5.5352,7,3,54,8,5.3201,35.2501,23.6082,25.7966,3.4581,24,19,35,25,0.359,-0.3642,27.2398,33.2938,4.5706,32,23,52,33,0.5503,0.7924,39.2164,43.7684,10.9756,38,16,74,43,0.2195,-0.1255,40.6842,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\886_0463-0726.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\886_0463-0726.tif
886,0468-1053,123,1053.0285,467.6301,31.2927,12.2305,27,5,70,32,0.588,0.6693,24.8052,45.7561,21.9557,37,7,112,45,0.6682,-0.02879,33.0195,36.8862,14.9426,36,12,97,36,0.9608,1.506,27.5909,23.8618,9.7672,18,6,49,24,0.5005,-0.2826,17.7078,47.1951,15.6832,45,0,90,45,0.09407,0.1753,33.263,11.7642,3.9879,11,3,26,11,0.8598,1.1693,11.0227,72.4797,29.6021,39,18,151,74,0.1754,-0.3291,38.5487,18.8374,7.0343,15,6,38,17,0.8316,0.297,9.9935,49.6423,15.9873,60,17,82,52,-0.3044,-0.7681,31.9838,16.4228,3.9774,16,6,27,16,0.3046,-0.1365,16.1591,24.4715,6.8978,23,7,42,25,0.1058,-0.1863,22.1169,9.0976,2.3309,9,5,17,9,0.6498,0.6574,6.8669,22.3171,2.3411,23,17,30,22,0.4035,0.2406,20.7338,31.0569,3.846,30,24,54,30,1.8262,8.7515,29.2078,79.3821,18.3797,71,46,131,77,0.5093,-0.1915,42.0747,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\887_0468-1053.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\887_0468-1053.tif
887,0460-1066,109,1066.3807,460.1055,35.5046,12.2736,37,5,65,37,-0.1664,-0.1852,23.1021,79.1376,43.7957,82,7,255,75,1.3673,2.6819,66.581,43.9633,17.0043,36,12,97,48,0.5656,0.06253,28.6937,37.0917,14.6727,24,12,80,37,0.7041,0.1659,33.2183,57.6606,16.3522,60,15,90,60,-0.1187,-0.4202,37.1831,13.2844,4.3972,15,3,22,13,-0.1931,-0.5092,11.1127,102.4037,45.9678,46,39,205,90,0.4983,-0.9554,73.3099,24.4312,8.8468,16,10,47,23,0.4821,-0.7156,12.4789,71.2385,16.9416,62,37,112,69,0.2328,-0.6088,39.4824,16.3945,5.3972,16,4,29,16,0.0268,-0.4889,17.0845,23.1101,7.6283,20,6,41,23,0.1417,-0.8141,20.912,29.8899,20.8732,11,6,84,23,0.7849,-0.4162,21.2359,23.7156,3.1917,22,17,32,23,0.3462,0.002632,20.6408,39.4771,11.5731,39,22,77,37,1.631,2.4251,34.2183,98.9358,17.548,114,47,138,100,-0.333,0.09484,48.1866,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\888_0460-1066.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\888_0460-1066.tif
888,0393-1349,368,1349.5136,394.2147,40.6359,14.1677,37,10,86,37,0.2886,-0.168,35.9435,61.788,25.982,67,0,165,60,0.6532,1.0437,37.8109,48.1984,18.6336,36,12,121,48,0.8295,0.8194,38.9196,26.2228,9.2031,24,0,62,24,0.4737,0.3356,33.4652,60.2038,19.9768,45,15,120,60,0.4325,-0.09749,47.087,13.4701,4.2116,16,2,28,13,0.3424,0.2865,12.0543,100.7962,44.7646,79,39,251,87,1.2369,1.0843,37.7304,23.4457,8.163,23,6,55,23,0.8046,0.8786,9.5391,68.4185,13.5292,67,38,107,69,0.07451,-0.2291,29.5217,18.2582,4.6056,19,5,34,18,0.1507,0.2573,18.7543,23.2364,7.1896,22,6,47,23,0.2732,0.3421,23.9761,11.0353,3.2743,11,3,28,11,0.7288,1.8292,19.4,23.2799,2.7135,24,17,31,23,0.3037,-0.1593,22.2674,31.269,4.0957,30,23,56,31,1.1695,4.3976,34.6283,86.5054,19.0123,93,34,136,86,0.01277,-0.3357,38.7739,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\889_0393-1349.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\889_0393-1349.tif
889,0221-1067,259,1067.2336,220.7587,28.4903,10.5512,27,5,54,27,0.1024,-0.3583,26.4304,44.6564,18.7865,45,0,105,45,0.4022,0.1564,46.6557,30.1158,11.5431,24,12,60,24,0.5092,0.01105,27.0684,16.9382,6.1294,18,0,37,18,0.3103,0.2492,22.5823,40.5405,14.1043,30,0,75,45,0.174,-0.3504,36.6835,11.9807,3.7823,12,2,22,12,-0.07157,-0.2906,10.5316,69.4865,31.4418,33,16,143,65,0.324,-0.9146,36.7949,14.7066,7.0781,9,5,40,12,1.1043,0.5561,7.9797,40.5753,11.9182,32,17,80,39,0.3687,-0.2544,24.6582,13.668,3.6808,13,5,23,14,0.03671,-0.2304,14.4354,21.9459,6.0851,21,6,36,22,0.1401,-0.27,21.1291,8.6178,2.2057,7,3,15,8,0.2362,0.04161,11.6051,20.8726,1.9695,21,16,27,21,0.09865,0.09643,20.0025,29.2239,4.3335,28,20,51,28,1.8722,6.221,28.5747,51.1004,14.4084,49,17,97,50,0.2477,-0.2559,32.1089,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\cellimages\890_0221-1067.tif,F:\from880\HCR-2017-10-11tg\20171011-3-x\20171011-3-5\thumbnails\890_0221-1067.tif
