"","id","genes.plot","avg.exp","pct.exp","avg.exp.scale",".group"
"42","C7","Cd34",0.0213499141513161,0.881057268722467,-0.286068962510332,2
"43","C7","Etv1",0.370269408452045,11.0132158590308,-0.258293214301558,3
"44","C7","Fxyd2",12.9309077664814,74.4493392070485,-0.279071499514103,4
"45","C7","Gal",0.642655737799081,14.9779735682819,-0.52414840370726,5
"46","C7","Gm7271",0.577405479348407,15.8590308370044,-0.240118902128583,6
"47","C7","Mrgpra3",0.0860515622779981,1.3215859030837,-0.245695310630698,7
"48","C7","Mrgprd",0.72716152377843,17.1806167400881,0.00314538941569041,8
"49","C7","Nefh",6.90168395482059,64.7577092511013,-0.355329991667484,9
"50","C7","Nppb",0.0832027355495361,4.40528634361234,-0.263970133756427,10
"51","C7","Piezo2",5.1510547094643,54.1850220264317,-0.124697952832308,11
"52","C7","S100b",2.78899359874032,47.136563876652,-0.208098493985061,12
"53","C7","Sstr2",0.0112122329946865,0.440528634361234,-0.314259656211119,13
"54","C7","Synpr",1.60366592275017,31.2775330396476,-0.322616801248795,14
"55","C7","Tmem233",10.0055870278892,73.568281938326,0.23627000460744,15
"56","C7","Tmem45b",0.547367154350687,7.9295154185022,-0.414073992789271,16
"57","C7","Trpa1",1.09284241517357,22.9074889867841,0.0310759440191846,17
"58","C7","Trpm8",0.155224346195293,3.08370044052863,-0.316890491752716,18
"59","C7","Trpv1",3.85412731278137,58.1497797356828,0.884500032991285,19
"60","C7","Tubb3",15.4964532985159,88.9867841409692,-0.440768640984117,20
"61","C6","Calca",52.9697360716996,80.2395209580838,0.140223961229613,1
"62","C6","Cd34",0.0868896860475879,7.78443113772455,-0.198659175585376,2
"63","C6","Etv1",0.135627355804196,4.79041916167665,-0.38956494144572,3
"64","C6","Fxyd2",1.76701802676521,40.7185628742515,-0.838362660329232,4
"65","C6","Gal",0.340982646206702,10.7784431137725,-0.584238718468604,5
"66","C6","Gm7271",1.71982234684887,39.5209580838323,0.142053718681287,6
"67","C6","Mrgpra3",0,0,-0.290545989870222,7
"68","C6","Mrgprd",0.0722515050409078,1.19760479041916,-0.339874113033241,8
"69","C6","Nefh",30.39140762585,97.0059880239521,1.58686957972944,9
"70","C6","Nppb",0.0516704508625148,1.79640718562874,-0.271894034957082,10
"71","C6","Piezo2",8.22263088703457,80.8383233532934,0.404583537805036,11
"72","C6","S100b",17.7427489636333,94.6107784431138,1.98044626786449,12
"73","C6","Sstr2",0,0,-0.342323418183512,13
"74","C6","Synpr",0.726344745342393,23.9520958083832,-0.619939430508145,14
"75","C6","Tmem233",3.01807713707723,26.9461077844311,-0.372020141181084,15
"76","C6","Tmem45b",0.0775630231295012,4.19161676646707,-0.61724111427657,16
"77","C6","Trpa1",0.0526795756243172,1.19760479041916,-0.45111837930309,17
"78","C6","Trpm8",0.0994428907018716,2.9940119760479,-0.348017542186293,18
"79","C6","Trpv1",0.320367443801343,8.38323353293413,-0.890780973443353,19
"80","C6","Tubb3",26.5329614531097,97.6047904191617,2.5,20
"81","C3","Calca",0.518163582742498,20.1357466063348,-0.815950459609166,1
"82","C3","Cd34",2.72964245370705,61.5384615384615,2.5,2
"83","C3","Etv1",0.00269370572557927,0.226244343891403,-0.463935369271747,3
"84","C3","Fxyd2",47.1144246448022,93.4389140271493,1.43346232887049,4
"85","C3","Gal",0.0381004001022226,2.48868778280543,-0.644569884924222,5
"86","C3","Gm7271",11.0910924118444,92.0814479638009,2.5,6
"87","C3","Mrgpra3",0.00570294966348824,0.452488687782805,-0.287573572411374,7
"88","C3","Mrgprd",0.0262395467831934,0.904977375565611,-0.363973605447004,8
"89","C3","Nefh",3.34785595051043,67.6470588235294,-0.64917096329638,9
"90","C3","Nppb",0.0011255937507035,0.226244343891403,-0.284595697964713,10
"91","C3","Piezo2",18.0223087477908,97.0588235294118,2.09322409433186,11
"92","C3","S100b",0.12517242809915,5.88235294117647,-0.597959885137517,12
"93","C3","Sstr2",0,0,-0.342323418183512,13
"94","C3","Synpr",7.07561602268062,87.5565610859728,1.53181762115328,14
"95","C3","Tmem233",0.11966358159936,7.23981900452489,-0.624338410745952,15
"96","C3","Tmem45b",2.719071987248,62.89592760181,0.525081264259918,16
"97","C3","Trpa1",0.222734137819785,10.8597285067873,-0.372285199124068,17
"98","C3","Trpm8",0.0230112817012535,0.678733031674208,-0.390667747833262,18
"99","C3","Trpv1",0.0542582299268057,2.48868778280543,-1.02446822174104,19
"100","C3","Tubb3",15.8028821386163,96.3800904977376,-0.354011518839432,20
"101","C4","Calca",3.19361649508031,26.1627906976744,-0.767177858187642,1
"102","C4","Cd34",0.076392402225915,2.32558139534884,-0.21265930582073,2
"103","C4","Etv1",0.142847978861164,5.52325581395349,-0.385525326001477,3
"104","C4","Fxyd2",1.65887532852549,17.4418604651163,-0.843780418533794,4
"105","C4","Gal",0.058892733486757,1.74418604651163,-0.640428256477666,5
"106","C4","Gm7271",1.02204547166226,22.6744186046512,-0.0913735220369353,6
"107","C4","Mrgpra3",0.014854250098038,0.290697674418605,-0.28280385028723,7
"108","C4","Mrgprd",0.0556551433977101,1.16279069767442,-0.348566720491418,8
"109","C4","Nefh",33.2577380485409,93.8953488372093,1.82386622542852,9
"110","C4","Nppb",0,0,-0.284878553893523,10
"111","C4","Piezo2",8.31033010450144,72.6744186046512,0.419695509595791,11
"112","C4","S100b",16.4266412106189,88.953488372093,1.78782838301857,12
"113","C4","Sstr2",0.00262267840507583,0.290697674418605,-0.335758961083391,13
"114","C4","Synpr",0.494337525819518,14.5348837209302,-0.698566275832353,14
"115","C4","Tmem233",1.13179037379275,24.7093023255814,-0.53622880323193,15
"116","C4","Tmem45b",0.0811479504436459,2.32558139534884,-0.615690809980048,16
"117","C4","Trpa1",0.0598800940174626,2.32558139534884,-0.447780393208858,17
"118","C4","Trpm8",0.0447916657190719,0.872093023255814,-0.37851390376827,18
"119","C4","Trpv1",0.079943773321374,2.32558139534884,-1.0115643858781,19
"120","C4","Tubb3",18.5762076325693,93.3139534883721,0.431181345340529,20
"121","C5","Calca",1.83899985030432,30.7692307692308,-0.791872061322352,1
"122","C5","Cd34",0.0433125433125433,1.92307692307692,-0.256777607356807,2
"123","C5","Etv1",0.189532339611681,5.76923076923077,-0.359407515501673,3
"124","C5","Fxyd2",16.739447154474,75,-0.0882704019591319,4
"125","C5","Gal",0.0325913572547944,3.84615384615385,-0.645667232112161,5
"126","C5","Gm7271",1.10689180430945,40.3846153846154,-0.062989885348493,6
"127","C5","Mrgpra3",0,0,-0.290545989870222,7
"128","C5","Mrgprd",0,0,-0.37771698396396,8
"129","C5","Nefh",25.0243202872382,96.1538461538462,1.14310298312371,9
"130","C5","Nppb",0,0,-0.284878553893523,10
"131","C5","Piezo2",15.4375315446204,96.1538461538462,1.64782581931931,11
"132","C5","S100b",13.9654841138826,90.3846153846154,1.42762772835246,12
"133","C5","Sstr2",0,0,-0.342323418183512,13
"134","C5","Synpr",1.13764135573276,46.1538461538462,-0.480551720789285,14
"135","C5","Tmem233",0.331924078063973,13.4615384615385,-0.605860301897851,15
"136","C5","Tmem45b",0.0337725023812012,3.84615384615385,-0.636178355261948,16
"137","C5","Trpa1",0,0,-0.47553935586103,17
"138","C5","Trpm8",0.0110382098672766,1.92307692307692,-0.397348936187427,18
"139","C5","Trpv1",0.0551910493363828,1.92307692307692,-1.02399959437482,19
"140","C5","Tubb3",19.8800969748391,96.1538461538462,0.800342703955994,20
"141","C8","Calca",125.958991699241,98.6078886310905,1.47079339729012,1
"142","C8","Cd34",0.0198780183232056,0.464037122969838,-0.288032016347543,2
"143","C8","Etv1",0.0103414890383105,0.928074245939675,-0.459656776781793,3
"144","C8","Fxyd2",10.9472246499324,80.2784222737819,-0.378450520519397,4
"145","C8","Gal",4.82550617402024,64.5011600928074,0.309034290796283,5
"146","C8","Gm7271",0.0475560506725023,1.39211136890951,-0.41736938796457,6
"147","C8","Mrgpra3",0,0,-0.290545989870222,7
"148","C8","Mrgprd",0.052341134539501,1.16009280742459,-0.35030248515699,8
"149","C8","Nefh",3.17092303926962,51.2761020881671,-0.663800297774322,9
"150","C8","Nppb",0.0525549609563737,1.39211136890951,-0.271671762113097,10
"151","C8","Piezo2",0.308142672197999,5.10440835266821,-0.959208820844533,11
"152","C8","S100b",0.751276064781929,17.6334106728538,-0.50632699420137,12
"153","C8","Sstr2",0.104735511654628,5.10440835266821,-0.0801747034248011,13
"154","C8","Synpr",0.177000334280744,6.49651972157773,-0.806111301052042,14
"155","C8","Tmem233",1.47429428626179,26.6821345707657,-0.506412494116877,15
"156","C8","Tmem45b",0.0364807984786004,0.464037122969838,-0.635007150741431,16
"157","C8","Trpa1",7.89838136181366,76.3341067285383,2.5,17
"158","C8","Trpm8",0.0164099094205521,0.464037122969838,-0.394351431704444,18
"159","C8","Trpv1",5.86948125524701,77.9582366589327,1.89696825606132,19
"160","C8","Tubb3",15.815328284102,93.7354988399072,-0.350487725962197,20
"161","C9","Calca",131.060007363494,99.7326203208556,1.56378318705253,1
"162","C9","Cd34",0.00279481215788006,0.267379679144385,-0.310815730231527,2
"163","C9","Etv1",0.124796191453104,4.81283422459893,-0.395624493155677,3
"164","C9","Fxyd2",6.00642526599478,68.1818181818182,-0.625975844328929,4
"165","C9","Gal",10.5386095932208,85.2941176470588,1.44702833896196,5
"166","C9","Gm7271",0.0950375814485875,2.40641711229947,-0.401485395375714,6
"167","C9","Mrgpra3",0.00351306896786736,0.267379679144385,-0.288714953625754,7
"168","C9","Mrgprd",0.0232161035377761,0.53475935828877,-0.365557181767496,8
"169","C9","Nefh",3.41264626395187,58.5561497326203,-0.643813909260371,9
"170","C9","Nppb",0.0677041999439338,1.8716577540107,-0.267864836157873,10
"171","C9","Piezo2",2.02308022361475,36.096256684492,-0.663697770136416,11
"172","C9","S100b",1.50720520055181,29.4117647058824,-0.395693597435857,12
"173","C9","Sstr2",0.109850609759698,3.74331550802139,-0.0673718214516791,13
"174","C9","Synpr",0.06191155543285,2.67379679144385,-0.845114689100202,14
"175","C9","Tmem233",0.245655269940666,3.74331550802139,-0.613370340050259,15
"176","C9","Tmem45b",0.0119217068034669,0.53475935828877,-0.645627746922674,16
"177","C9","Trpa1",2.27627079373217,34.7593582887701,0.579684704592412,17
"178","C9","Trpm8",0.0240792825118079,1.60427807486631,-0.390071784267966,18
"179","C9","Trpv1",4.36208365502392,67.9144385026738,1.13968580676077,19
"180","C9","Tubb3",13.6966223465188,93.048128342246,-0.950342588694105,20
