ID,ROI,Area,X,Y,Mean_cd34,StDev_cd34,Mode_cd34,Min_cd34,Max_cd34,Median_cd34,Skew_cd34,Kurt_cd34,Background_cd34,Mean_Etv1,StDev_Etv1,Mode_Etv1,Min_Etv1,Max_Etv1,Median_Etv1,Skew_Etv1,Kurt_Etv1,Background_Etv1,Mean_nppb,StDev_nppb,Mode_nppb,Min_nppb,Max_nppb,Median_nppb,Skew_nppb,Kurt_nppb,Background_nppb,Mean_tmem45b,StDev_tmem45b,Mode_tmem45b,Min_tmem45b,Max_tmem45b,Median_tmem45b,Skew_tmem45b,Kurt_tmem45b,Background_tmem45b,Mean_trpa1,StDev_trpa1,Mode_trpa1,Min_trpa1,Max_trpa1,Median_trpa1,Skew_trpa1,Kurt_trpa1,Background_trpa1,Mean_fxyd2,StDev_fxyd2,Mode_fxyd2,Min_fxyd2,Max_fxyd2,Median_fxyd2,Skew_fxyd2,Kurt_fxyd2,Background_fxyd2,Mean_synpr,StDev_synpr,Mode_synpr,Min_synpr,Max_synpr,Median_synpr,Skew_synpr,Kurt_synpr,Background_synpr,Mean_tmem233,StDev_tmem233,Mode_tmem233,Min_tmem233,Max_tmem233,Median_tmem233,Skew_tmem233,Kurt_tmem233,Background_tmem233,Mean_trpv1,StDev_trpv1,Mode_trpv1,Min_trpv1,Max_trpv1,Median_trpv1,Skew_trpv1,Kurt_trpv1,Background_trpv1,Mean_tubb3,StDev_tubb3,Mode_tubb3,Min_tubb3,Max_tubb3,Median_tubb3,Skew_tubb3,Kurt_tubb3,Background_tubb3,Mean_trpm8,StDev_trpm8,Mode_trpm8,Min_trpm8,Max_trpm8,Median_trpm8,Skew_trpm8,Kurt_trpm8,Background_trpm8,Mean_calca,StDev_calca,Mode_calca,Min_calca,Max_calca,Median_calca,Skew_calca,Kurt_calca,Background_calca,Mean_mrgprd,StDev_mrgprd,Mode_mrgprd,Min_mrgprd,Max_mrgprd,Median_mrgprd,Skew_mrgprd,Kurt_mrgprd,Background_mrgprd,Mean_piezo2,StDev_piezo2,Mode_piezo2,Min_piezo2,Max_piezo2,Median_piezo2,Skew_piezo2,Kurt_piezo2,Background_piezo2,Mean_s100b,StDev_s100b,Mode_s100b,Min_s100b,Max_s100b,Median_s100b,Skew_s100b,Kurt_s100b,Background_s100b,Cellstack,Thumbnail
124,0817-1545,114,1546.0263,816.4035,86,18.521,99,45,140,87,0.2161,0.4013,57.2359,72.4474,19.9956,75,26,129,71,0.175,0.06269,50.2691,71.5351,16.6229,82,38,117,72,0.294,0.07653,53.289,17.6053,7.5535,19,0,39,19,0.2272,0.07841,12.7176,30.8596,8.2707,26,13,57,30,0.3822,0.1101,24.6279,26.0789,6.0428,25,12,39,25,0.05646,-0.764,20.1794,37.0789,7.9824,35,19,62,37,0.2773,0.4946,30.206,70.807,13.2904,63,42,106,70,0.2485,-0.2028,57.0498,50.2544,8.6902,43,29,73,50,0.2852,-0.1677,37.9867,80.4737,17.5702,65,43,128,79,0.415,-0.01442,60.9767,32.7456,10.6495,24,20,84,30,2.3048,6.7908,26.3522,30.9912,4.481,29,21,43,31,0.1024,-0.5658,27.2625,96.4737,14.6367,92,67,138,96,0.3487,-0.3422,76.1362,44.6404,13.0697,38,26,99,41,1.8816,4.5436,30.7409,118.6579,22.5698,101,69,186,118,0.1689,-0.2176,85.3688,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\125_0817-1545.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\125_0817-1545.tif
125,0817-1493,108,1493.6481,817.4907,69.8333,24.4584,69,30,154,68,0.9211,1.3565,48.3693,34.4722,13.29,26,6,71,33,0.3809,-0.2199,33.6341,48.9907,9.1483,46,31,83,48,0.8548,1.1814,50.8118,18.1019,13.5708,12,2,73,14,1.8623,3.72,11.784,19.8056,5.9097,18,8,37,18,0.6461,0.2203,20.0801,34.6481,22.7745,15,8,93,27,0.9145,-0.2399,23.0105,35.4722,10.7803,26,17,69,34,0.9385,0.4057,28.1812,46.2315,7.5722,45,30,64,46,0.04578,-0.4044,44.6655,30.3889,5.6417,26,17,46,30,0.1872,-0.1305,29.8258,37.6389,14.7562,19,13,64,37,0.1056,-1.4819,44.0348,21.6019,3.3291,18,15,31,22,0.2978,-0.329,21.1951,25,3.4343,23,17,37,25,0.4645,0.2966,25.3833,69.8519,11.6425,65,40,99,69,0.09263,-0.08067,66.9373,51.7963,31.7168,27,20,187,45,1.8558,4.1277,40.1185,66.7685,23.1261,53,26,143,62,0.8505,0.5575,73.899,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\126_0817-1493.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\126_0817-1493.tif
126,0831-1417,78,1417.4872,831.2308,70.7051,14.2301,68,40,104,70,0.2481,-0.4221,57.8313,52.2308,15.6105,56,10,91,54,-0.1008,0.1568,45.6305,65.2821,11.2133,73,39,97,66,-0.1639,0.08616,53.9759,13.4487,5.9971,18,0,30,13,0.08376,0.07191,11.7229,27.5385,6.1511,29,15,40,28,0.05547,-0.7933,24.8996,28.3974,4.5878,26,19,39,28,0.5225,-0.2184,23.8956,25.5641,6.8444,26,9,41,26,-0.1451,-0.247,25.2249,60.4231,9.792,64,38,91,60,0.5142,0.5761,53.8635,39.9359,6.5749,40,25,63,40,0.4053,0.8996,35.3695,135.5,37.7128,112,79,227,132,0.7312,-0.1571,112.9759,28.7051,3.8683,30,19,37,29,-0.03607,-0.5044,24.9759,30.9744,4.6262,29,20,42,30,0.005382,-0.3961,28.1446,85.4615,14.1556,82,59,124,85,0.3792,0.1465,75.8554,46.9872,8.258,48,30,69,46,0.655,0.2397,39.6948,139.2308,26.1846,118,81,190,137,0.1502,-0.7966,122.3333,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\127_0831-1417.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\127_0831-1417.tif
127,0829-1449,97,1449.0979,829.634,68.5052,16.5932,58,27,104,68,0.01983,-0.5051,51.3285,45.4639,15.6838,36,7,88,44,0.4004,0.003418,37.4161,54.2268,10.1515,55,32,89,54,0.4143,0.3302,43.5438,22.5464,19.0405,7,3,110,15,1.7395,3.7729,35.208,27.1856,7.582,25,14,54,26,0.7115,0.5953,23.5365,31.3505,9.4572,29,16,69,30,1.3546,2.4567,32.6934,39.4639,15.4172,30,13,86,35,0.7856,0.3028,34.438,89.7732,17.1017,93,56,147,89,0.3595,0.3315,75.5766,34.5979,5.5315,35,18,53,35,0.01264,1.0248,28.4672,134.9278,37.7906,104,71,208,131,0.1952,-1.1653,111,26.4536,4.2794,23,20,40,26,0.5107,-0.3694,22.4526,61.4124,17.5427,42,34,113,59,0.8881,0.3346,46.4015,83.4845,15.7249,83,49,124,84,0.1792,-0.06172,74.4051,43.1546,12.8682,37,21,106,42,1.6182,5.3237,32.6788,101.3814,23.361,99,50,156,101,0.0627,-0.5555,76.8723,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\128_0829-1449.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\128_0829-1449.tif
128,0663-1819,27,1819.2407,663.3519,80.1111,29.1895,57,32,153,86,0.3259,-0.3188,45.7258,20.4444,11.6861,0,0,41,20,-0.04604,-0.9872,22.2957,37.7407,9.0664,30,20,57,38,0.1925,-0.489,35.2258,32.5926,23.1886,14,6,105,26,1.6774,2.2641,28.7796,17.1111,4.0982,14,8,25,17,-0.1359,-0.6202,17.172,51.2963,20.2804,36,18,97,53,0.3018,-0.5184,34.7796,43.6667,11.6718,37,27,77,42,0.8687,0.6106,35.5806,39.1481,7.3259,34,28,53,38,0.3877,-0.937,43.0269,22.1111,3.577,26,15,28,22,-0.1901,-1.0123,23.4892,36.4444,7.3082,43,24,54,36,0.3169,-0.4811,43.1828,17.8519,2.905,17,14,25,17,0.6005,-0.0287,18.0968,23.5185,4.3798,23,14,38,23,1.0928,3.1768,22.7634,58.8889,15.4605,57,30,98,58,0.3573,0.2199,57.328,37.4444,11.1884,37,18,64,37,0.532,-0.2327,28.4086,45.9259,14.5177,52,25,82,45,0.6407,0.089,48.9462,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\129_0663-1819.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\129_0663-1819.tif
129,0685-1815,22,1815.5909,685.4091,97.9091,22.7803,85,65,155,90,0.9895,0.2408,39.0838,21.9091,14.0133,0,0,41,20,-0.1842,-1.2575,24.0599,41.7727,10.323,41,26,64,43,0.1352,-0.585,36.9341,31.2727,24.0539,14,13,103,24,1.9973,3.1022,9.6168,18.4545,5.1151,22,9,28,20,-0.1716,-0.8438,16.0539,53,16.3765,51,27,79,54,-0.1253,-1.3167,18.7425,46.3182,9.6332,37,32,61,47,0.1116,-1.4338,26.3114,39.9545,5.1128,38,33,50,40,0.3967,-0.9004,38.6886,27.1364,4.4965,24,20,36,27,0.3459,-0.8003,24.503,40.9091,9.1335,46,24,56,42,-0.2405,-0.8625,31.2395,19.4545,2.8574,17,14,27,20,0.5435,0.5784,17.6647,22.6364,4.26,23,17,33,23,0.5377,-0.2076,24.006,61.4545,11.1087,64,41,96,61,1.0528,2.6531,55.4132,43.2727,8.396,46,28,61,45,-0.07458,-0.5007,24.5509,44.2273,15.3528,31,18,77,44,0.3097,-0.4776,45.9341,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\130_0685-1815.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\130_0685-1815.tif
130,0766-2002,63,2002.3095,766.3889,113.2698,27.342,115,73,197,111,0.8896,0.7827,45.2146,19.7778,13.8033,0,0,55,19,0.2976,-0.689,25.4506,43.381,8.9559,38,22,64,43,0.05612,-0.3095,38.1588,74.9524,27.0587,59,34,160,66,1.0901,1.0642,43.4163,22.5556,5.1015,26,13,36,23,0.2504,-0.2511,19.4721,113.8095,36.5438,112,30,192,118,-0.518,-0.2093,53.2103,77.0635,28.8784,36,10,142,80,-0.162,0.004977,40.4678,43.5556,5.9833,42,29,59,43,0.03757,-0.0817,47.3519,30.1429,4.8588,26,17,40,31,-0.3079,-0.01278,26.9614,62.746,21.7107,41,36,144,56,1.7574,3.5696,69.2661,17.381,2.5805,15,13,24,17,0.6175,0.1234,18.412,22.8571,2.7348,25,16,28,24,-0.469,-0.4338,24.0043,59.254,8.7251,59,36,88,59,0.3303,1.1904,57.8069,78.4286,24.6673,71,21,154,76,0.5552,0.6845,31.9914,46.6032,9.7311,39,31,76,47,0.5724,0.2917,49.6052,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\131_0766-2002.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\131_0766-2002.tif
131,0860-1969,78,1969.2308,860.3462,82.2949,32.8839,53,24,169,83,0.2589,-0.2888,38.3659,19.6667,11.1852,0,0,45,19,0.226,-0.4786,21.8333,34.8846,10.6503,30,16,63,34,0.2961,-0.5136,32.2561,32.5641,21.6373,11,0,94,30,0.9031,0.4034,13.0122,17.3846,5.5904,14,9,33,17,0.8675,0.3457,14.9919,78.5897,28.4525,38,24,135,79,0.04315,-0.5874,32.0285,36.2051,13.2011,20,15,63,36,0.1913,-1.0487,24.1504,36.2179,6.4196,35,23,53,36,0.09157,-0.3016,35.4634,25.0769,5.3568,23,15,40,25,0.2633,-0.4803,23.1789,55.5769,22.3389,35,28,112,48,0.8083,-0.4965,57.8455,17.7436,2.756,16,12,23,18,0.1643,-0.8372,17.1057,22.1795,3.0011,21,17,31,22,0.6007,0.3894,21.5894,50.8205,9.0162,47,32,73,50,0.4437,0.0031,47.5,35.7308,10.6328,41,12,61,36,0.03919,-0.4445,27.2846,46.5769,13.3285,48,13,83,47,0.1856,0.09081,49.6016,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\132_0860-1969.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\132_0860-1969.tif
132,0610-2147,63,2147.8333,610.5635,107.0794,27.0449,100,51,165,103,0.0716,-0.806,43.0335,26.8889,14.2547,27,0,66,25,0.4565,0.3239,29.5607,38.5079,8.0018,37,21,55,37,0.3198,-0.4844,35.9121,56.5714,28.4099,64,8,137,58,0.4801,0.05694,12.2803,19.7937,4.7524,17,11,32,19,0.3921,-0.534,16.4351,98.1429,30.8058,118,27,171,100,-0.2074,-0.4247,31.9205,48.0952,13.193,48,19,84,47,0.3189,0.2581,25.3138,56.5397,17.1397,36,29,90,54,0.3315,-1.0674,57.0251,29.4286,4.2982,27,20,41,29,0.1354,-0.3157,23.8619,103,34.0716,62,44,159,99,0.04931,-1.3345,86.887,20.5397,2.8671,20,16,27,20,0.3497,-0.6246,19.2134,32.9048,14.9015,24,17,69,26,1.1125,-0.0004209,51.1799,62.746,11.1471,66,40,90,64,0.09852,-0.6682,55.9833,49.1905,24.7685,24,18,115,43,0.6746,-0.5718,35.6067,57.6508,15.8279,58,24,102,54,0.6735,0.3691,65.7155,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\133_0610-2147.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\133_0610-2147.tif
133,0587-2239,73,2238.9658,586.3767,94.6301,23.627,96,39,157,95,0.3447,0.04493,43.5904,23.4521,14.5134,0,0,59,22,0.2874,-0.5804,30.3574,39.4658,8.2716,38,25,61,39,0.4305,-0.3875,38.502,64.0822,37.386,63,17,255,58,2.0164,7.6004,45.2892,19.5753,5.5676,20,11,36,19,0.6591,0.0736,19.9598,80.5068,22.4649,68,37,126,84,-0.008888,-0.7328,49.5422,45.7945,12.9818,27,20,77,45,0.3801,-0.1191,36.759,39.1644,8.0949,39,17,72,39,0.5874,2.6015,48.502,23.6712,5.1695,25,13,37,24,0.1571,-0.4736,21.498,39.4247,9.29,34,20,58,39,0.1464,-0.8557,45.0924,19.2603,3.0094,19,11,27,19,0.1419,0.2031,21.0924,25.0411,4.3187,23,17,36,24,0.5947,0.1361,24.6386,74.137,14.6613,64,45,111,73,0.5824,0.07149,78.9116,67.6986,17.2544,60,31,119,68,0.2054,0.475,36.5783,49.274,12.0569,34,30,80,47,0.5555,-0.276,55.4618,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\134_0587-2239.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\134_0587-2239.tif
134,0575-2224,18,2224.3889,575.2222,85.7222,20.2711,83,49,125,88,-0.1428,-0.6861,40.1242,27.6111,15.2784,27,3,59,27,0.4635,-0.3662,26.472,41.0556,9.7828,46,20,55,43,-0.4511,-0.6353,39.5776,21.5,8.2123,16,9,35,23,-0.04426,-1.2236,10.5963,16.8333,4.2322,13,11,26,16,0.6366,-0.5505,15.6584,41.0556,10.5355,42,18,54,42,-0.606,-0.5285,24.5155,31,6.0196,25,19,43,31,0.08991,-0.4297,24.3913,37.7222,6.5602,39,25,50,39,-0.2935,-0.05609,35.472,20.6667,3.3955,20,12,26,21,-0.9205,0.8147,25.4161,46.7778,11.1543,37,26,80,47,1.0702,2.8721,42.6149,19.3889,2.4767,18,14,23,20,-0.4132,-0.09106,18.9938,25.2222,2.9616,26,21,31,26,0.2386,-0.9382,26.7516,60.1111,13.5251,55,34,85,60,0.0359,-0.627,57.7143,45.8333,5.0439,44,37,56,45,0.1742,-0.6344,29.0373,51.9444,15.8169,33,27,87,52,0.5595,-0.2011,53.5652,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\135_0575-2224.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\135_0575-2224.tif
135,0609-2220,21,2220.881,608.9762,86.0476,18.9248,86,46,121,86,0.07223,-0.365,42.8869,27.3333,12.8582,7,7,50,27,0.1962,-0.7473,28.0298,49.9048,10.9037,55,26,71,53,-0.31,-0.2035,37.9821,70.4762,29.5983,51,22,140,61,0.7203,-0.2517,23.8512,21.4286,6.8452,27,10,38,20,0.5649,-0.03877,17.5536,83,17.0792,88,53,121,83,0.2712,-0.247,35.2321,49.8095,11.3253,39,29,74,50,0.3476,-0.3386,27.6131,36.619,7.7361,25,19,49,38,-0.4084,-0.1431,35.4524,40.1429,12.7722,44,25,75,36,1.2118,0.9369,24.3452,54.4286,17.215,53,31,82,53,0.2492,-1.0634,40.4048,22.381,3.8533,19,17,30,22,0.4921,-0.9577,19.2083,37.9524,10.0323,46,23,59,36,0.624,-0.45,26.8631,69.9524,12.4879,55,45,91,69,-0.1706,-0.8315,57.7083,69.4286,18.3537,68,21,102,70,-0.5529,0.6834,34.8095,59.8571,10.8549,59,35,76,59,-0.5,-0.05101,53.6429,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\136_0609-2220.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\136_0609-2220.tif
136,0646-2182,21,2182.2143,645.9762,100.7619,29.2846,91,45,164,91,0.3323,-0.4062,54.2456,24.8095,12.9831,30,1,53,25,0.1766,-0.3659,24.0117,43.0476,8.7033,36,25,62,44,-0.06244,-0.1481,33.5614,56.7143,23.7195,36,14,110,58,0.3876,-0.1673,27.7135,20.5714,5.4458,15,12,32,21,0.08161,-0.7115,17.0234,75.2381,12.9765,61,45,94,79,-0.4578,-0.5679,42.1053,46.2381,14.2088,29,29,72,42,0.5701,-0.937,26.0409,36.9048,5.8301,34,21,46,38,-0.9695,1.0425,48.6784,23.5238,7.0329,21,12,37,22,0.313,-0.8086,19.7193,55.381,28.1024,31,29,137,47,1.5175,1.6202,88.883,19.4286,2.2039,17,17,24,19,0.3276,-1.0597,19.1579,34.7143,17.413,23,21,92,27,2.0432,3.8036,72.1111,65.619,12.9015,64,41,100,64,0.5274,1.3492,58.1462,100.6667,32.4258,119,57,164,94,0.681,-0.754,49.0117,59.1905,16.1481,29,29,95,59,0.08395,0.0124,61.4561,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\137_0646-2182.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\137_0646-2182.tif
137,0652-2191,35,2191.0714,652.4143,89.7143,21.4813,73,50,139,87,0.4687,-0.3057,41.6492,22.7429,11.4233,13,5,46,21,0.2542,-1.1982,22.3874,37.3714,9.959,31,22,66,37,0.5974,0.2581,34.3194,40.6857,17.3286,25,12,78,37,0.2081,-0.8929,17.2775,15.6,4.1671,13,9,31,15,1.4008,3.5442,15.4293,54.7429,15.2843,48,26,84,56,-0.06886,-0.7972,24.9476,32.4857,10.311,20,16,52,31,0.3416,-0.8703,20.9895,38.5429,6.0261,32,28,55,38,0.5172,0.1657,45.8901,21.4857,3.7367,21,15,30,21,0.3942,-0.2783,18.9895,45.4571,36.1104,28,20,140,31,1.8986,2.1746,81.9738,20,2.744,20,15,27,20,0.4853,-0.09473,19.6178,33.6571,12.1485,28,21,91,31,3.1509,12.3298,93.5864,60.8571,11.5762,60,44,83,60,0.1335,-1.1347,55.8901,61.1714,12.0623,61,26,79,61,-0.7717,0.5994,33.2251,52.6857,12.4824,53,25,84,53,0.3789,0.3117,63.8534,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\138_0652-2191.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\138_0652-2191.tif
138,0666-2160,28,2160.2857,666.4286,93.2143,18.9607,58,58,133,98,-0.09913,-0.6794,37.0549,20.6786,13.0924,5,0,50,22,0.4294,-0.4593,18.5714,42.3929,8.6081,55,27,55,42,0.03319,-1.254,33.3297,47.1786,24.9459,27,12,104,41,0.6111,-0.5596,11.0275,16.0357,4.8342,9,9,28,17,0.3383,-0.4562,13.3736,44.4643,18.7902,16,16,75,48,-0.1524,-1.3155,20.478,40.6429,13.5379,30,18,62,43,-0.07295,-1.1645,25.3736,33.0357,4.5173,31,21,42,34,-0.4558,0.3259,31.5824,20.5,2.925,22,14,25,21,-0.3436,-0.4762,17.2033,30.6429,7.8184,38,16,45,31,-0.2139,-0.7956,25.1648,18.0357,2.7146,17,12,24,18,0.006941,-0.02581,16.7747,24.1786,3.0191,22,19,32,24,0.4262,0.001959,21.6374,59.3214,11.1888,63,30,80,63,-0.4808,0.1765,49.5714,47.9643,16.7785,24,20,71,51,-0.148,-1.3712,29.9505,46.3571,10.3251,40,29,70,47,0.2375,-0.5221,41.1648,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\139_0666-2160.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\139_0666-2160.tif
139,0755-2137,54,2137.1296,754.9815,86.0741,24.0886,72,43,181,82,1.2361,2.9679,38.9862,24.963,14.0564,16,0,69,24,0.6801,0.7876,32.5642,41.7222,10.3037,46,24,67,43,0.006288,-0.5715,35.6009,56.0556,25.1549,31,10,108,52,0.3905,-0.837,46.0046,19.3148,5.5007,15,11,35,19,0.7725,0.3526,20.2569,96.1667,25.4949,128,45,136,104,-0.4087,-1.0029,54.4679,58.2593,16.8805,36,32,100,57,0.6222,-0.2826,41.6606,39.7037,4.855,39,30,54,39,0.6377,0.2279,43.8394,22.8148,4.1485,24,16,34,23,0.3439,-0.03102,19.9587,43.6111,11.8631,28,18,68,46,-0.07054,-0.5758,45.1606,20.037,2.7193,19,15,30,20,1.0346,2.121,18.2752,25.1481,2.8378,26,18,33,26,-0.07656,0.004033,25.9541,70.2037,9.1081,69,57,95,69,0.6132,-0.3308,66.3073,66.4444,23.7087,42,29,120,67,0.3199,-0.6198,39.5963,47.2963,11.5328,51,23,69,48,-0.05654,-0.5985,44.9404,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\140_0755-2137.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\140_0755-2137.tif
140,0616-2132,76,2132.6053,616.9079,91.7105,25.9126,90,24,139,90,-0.3266,-0.3517,49.3043,26.5789,16.8936,0,0,67,28,0.3463,-0.2561,29.6443,39.2895,8.1336,41,24,57,39,0.0581,-0.9403,37.8656,45.4474,22.0396,25,6,135,44,0.8042,2.2008,34.9012,20.3684,7.2826,19,8,51,19,1.4323,3.0787,20.585,86.7763,33.412,58,32,153,82,0.2039,-1.2477,55.0158,46.0132,13.3011,37,21,84,44,0.5769,-0.2341,37.8814,42.2237,6.7124,43,29,58,43,0.1728,-0.4962,45.083,26.8289,4.6487,28,17,38,27,0.2393,-0.5914,25.3202,49.1053,15.2268,45,20,84,45,0.5607,-0.3807,51.415,19.6579,2.4579,20,12,25,20,-0.3217,0.3152,19.0158,23.4605,3.5719,24,16,33,23,0.3751,0.07162,24.7194,66.3816,11.9432,60,41,101,67,0.3032,0.3443,70.083,50.75,12.3333,43,30,104,51,1.1076,3.4075,39.2292,57.8026,14.177,56,26,88,57,-0.03518,-0.2696,58.5573,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\141_0616-2132.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\141_0616-2132.tif
141,0615-2124,34,2124.4118,614.7353,85.5588,20.31,77,50,142,87,0.318,0.1197,53.6293,19.8235,10.6443,22,0,42,22,0.08446,-0.3928,26.5463,37.5294,7.7391,31,23,53,37,0.2058,-0.5802,39.8439,57.8529,29.7526,44,19,125,47,0.913,-0.1357,50.7366,24.9118,10.9028,22,14,60,22,1.659,2.6637,21.3902,80.8235,17.5697,84,42,130,81,0.2127,0.7833,72.5122,46.2941,8.5724,40,32,75,46,1.1536,2.0448,49.5707,44.5294,8.0009,35,32,63,43,0.7232,-0.3349,53.6829,25.9412,3.684,26,19,35,26,0.5568,0.202,27.8976,35.5,7.6525,31,23,51,34,0.3484,-0.743,47.3317,18.9706,3.0499,17,13,27,19,0.5031,0.217,19.3659,25.9706,3.4771,29,18,34,26,-0.234,-0.08582,26.6634,79.2941,16.0048,99,45,117,77,0.03774,-0.3064,78.4537,50.6471,18.2954,57,24,138,52,3.0656,13.602,40.8683,44.1471,8.9074,41,22,62,43,-0.1723,0.06019,49.161,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\142_0615-2124.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\142_0615-2124.tif
142,0686-2082,52,2082.2885,686.4231,80.3269,19.2371,57,48,130,79,0.5625,-0.5333,40.9302,24.0769,14.0096,31,0,64,24,0.5684,0.1614,20.414,36.6154,9.0795,33,23,73,36,1.3044,3.2011,29.814,40.4038,25.7006,22,3,128,38,0.8771,0.892,15.5535,21.1538,7.7165,14,8,45,20,0.8169,0.5617,17.0884,92.8654,23.6925,78,54,139,93,0.1761,-1.0084,32.4651,49.5769,11.3817,50,27,80,50,0.6567,0.5446,29.7721,41.0769,8.3709,40,18,60,41,-0.3791,0.5458,38.0093,31.8846,10.3633,29,19,68,29,1.7471,3.2934,29.7349,38.9038,11.902,31,19,73,38,0.5741,0.001585,37.093,19.3846,2.7593,18,14,26,19,0.1253,-0.4709,17.6512,32.7308,17.4324,22,18,84,28,1.6872,1.6052,27.1023,60.4423,9.2427,60,44,97,60,1.0596,3.197,53.0372,44.0192,13.0587,43,20,69,46,-0.1202,-0.8314,27.7209,53.8654,12.2811,58,28,86,55,0.0895,0.4946,46.3302,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\143_0686-2082.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\143_0686-2082.tif
143,0785-1783,75,1783.78,784.82,77.9733,20.7579,72,30,133,78,0.2583,-0.2863,42.9643,32.6933,17.3361,36,0,82,33,0.2805,-0.1478,27.2937,47.8533,13.8346,45,21,83,47,0.329,-0.06844,37.3849,29.4133,22.0602,12,1,136,21,1.922,5.9583,13.0198,21.3067,6.8949,19,7,48,21,0.8726,1.9017,17.373,71.72,27.2697,50,22,124,75,-0.05641,-1.0707,31.1151,31.8533,9.6152,26,13,60,31,0.4038,-0.1005,24.6627,42.4133,10.5512,33,16,66,42,0.1697,-0.1844,37.1389,69.5867,30.5079,87,22,163,77,0.2486,-0.189,46.631,78.8667,29.3374,70,26,139,81,-0.07694,-0.7236,50.9563,21.2533,3.3088,21,15,30,21,0.4266,-0.06451,19.1667,63.76,30.0503,27,20,122,65,0.136,-1.0795,43.127,67.72,11.8305,72,41,92,67,0.04524,-0.7891,58.246,43.8,14.5296,44,19,81,43,0.3912,-0.6936,29.1151,59.4667,13.1759,52,30,86,58,0.04086,-0.7171,51.873,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\cellimages\144_0785-1783.tif,F:\from880\HCR-2018-02-13-tg\20180213-3\20181213-3-mouse1-section4\thumbnails\144_0785-1783.tif
